English Word	Is Important	Pronunciation	POS Symbol	Part of Speech	Japanese Translation	Origin	Reference Page
a	TRUE	[ə]	K	Adjective	1つの, 1人の	Grade 1	1
a piece of ~	FALSE	—	—	—	1つ[個/枚]の〜	101	101
a lot	FALSE	—	—	—	たくさん, 大いに	46	46
a lot of ~	FALSE	—	—	—	たくさんの〜	46	46
a long time ago	FALSE	—	—	—	ずっと前に	86	86
a piece of ~	FALSE	—	—	—	1つ[個/枚]の〜	101	101
a strange ~	FALSE	—	—	—	変わった〜	86	86
~ times a day	FALSE	—	—	—	1日に〜回	101	101
able	FALSE	[éibl]	K	Adjective	〜できる, 能力のある	81	81
be able to ~	FALSE	—	—	—	〜することができる	81	81
about	FALSE	[əbáut]	D	Preposition	〜について, H 〜について	81	81
about ~	FALSE	—	—	—	およそ〜, 約〜	1	1
above	FALSE	[əbʌ́v]	D	Preposition	〜の上に[へ]	1	1
absolutely	FALSE	[æ̀bsəlúːtli]	G	Adverb	まったく(そのとおり)	111	111
accident	FALSE	[ǽksidənt]	A	Noun	事故	95	95
according	FALSE	[əkɔ́ːrdiŋ]	K	Adjective	一致して	1	1
according to ~	FALSE	—	—	—	〜によれば	1	1
achievement test	FALSE	[ətʃíːvmənt test]	A	Noun	学力テスト	130	130
acoustic guitar	FALSE	[əkúːstik gitάːr]	A	Noun	アコースティックギター	131	131
across	FALSE	[əkrɔ́ːs]	D	Preposition	〜を横切って	70	70
action	FALSE	[ǽkʃən]	A	Noun	行動	Elementary	
take action	FALSE	—	—	—	行動を起こす	Elementary	
active	FALSE	[ǽktiv]	K	Adjective	活動的な	1	1
actually	FALSE	[ǽktʃuəli]	G	Adverb	実際に	1	1
add	FALSE	[æd]	B	Verb	〜を加える	52	52
admire	FALSE	[ædmáiər]	B	Verb	〜に感心する	42	42
adorable	FALSE	[ədɔ́ːrəbl]	K	Adjective	とてもかわいい	120	120
Africa	FALSE	[ǽfrikə]	A	Noun	アフリカ	101	101
African Lion Safari	FALSE	[ǽfrikən láiən səfάːri]	A	Noun	アフリカンリオンサファリ	19	19
after	TRUE	[ǽftər]	D	Preposition	〜(時･順序)のあとに[で]	29	29
after a while	FALSE	—	—	—	しばらくして	71	71
afternoon	TRUE	[æ̀ftərnúːn]	A	Noun	午後	Elementary	
again	TRUE	[əgéin]	G	Adverb	再び, もう一度	11	11
agree	FALSE	[əgríː]	B	Verb	賛成する	1	1
agree with ~	FALSE	—	—	—	〜に賛成する	1	1
agricultural	FALSE	[æ̀grikʌ́ltʃərəl]	K	Adjective	農業の	102	102
agricultural chemical	FALSE	[æ̀grikʌ́ltʃərəl kémikəl]	A	Noun	農薬	102	102
agriculture	FALSE	[ǽgrikʌ̀ltʃər]	A	Noun	農業	120	120
ah	FALSE	[ɑː]	C	Interjection	ああ	1	1
ah(ha)	FALSE	[ɑː(hɑ́ː)]	C	Interjection	ああ(喜び・悲しみなどを表す)	81	81
air	TRUE	[ɛər]	A	Noun	空気	1	1
air circulator	FALSE	[ɛər sə́ːrkjuleitər]	A	Noun	エアサーキュレーター (空気循環器)	83	83
air conditioner	FALSE	[ɛər kəndíʃənər]	A	Noun	エアコン	83	83
airplane	FALSE	[ɛ́ərplèin]	A	Noun	飛行機	1	1
airport	TRUE	[ɛ́ərpɔ̀ːrt]	A	Noun	空港	92	92
Alice	FALSE	[ǽlis]	A	Noun	アリス (女子の名)	73	73
all	TRUE	[ɔːl]	K	Adjective	すべての	1	1
all over ~	FALSE	—	—	—	〜中で, 〜の至る所に	1	1
all over the ~	FALSE	—	—	—	〜の至る所で	101	101
alligator	FALSE	[ǽligèitər]	A	Noun	アリゲーター (ワニの1種)	1	1
almost	TRUE	[ɔ́ːlmoust]	G	Adverb	ほとんど	1	1
also	TRUE	[ɔ́ːlsou]	G	Adverb	〜もまた, さらに	1	1
